23.06.2015 13:25:50,564 INFO  creator.GenerateAirplane - Generate new airplane ID-17, passanger 91
23.06.2015 13:25:50,565 INFO  logic.ProcessingAirplane - The airplane ID-17 expects service
23.06.2015 13:25:50,800 INFO  logic.ProcessingAirplane - Processing of the airplane ID-11 is complete
23.06.2015 13:25:50,800 INFO  logic.ProcessingAirplane - Processing airplane ID-16, passanger count 60, necessary time 6000
23.06.2015 13:25:50,800 INFO  logic.ProcessingAirplane - Use ladder number 5, airplane ID-16
23.06.2015 13:25:50,988 INFO  logic.ProcessingAirplane - Processing of the airplane ID-6 is complete
23.06.2015 13:25:50,988 INFO  logic.ProcessingAirplane - Processing airplane ID-12, passanger count 71, necessary time 7100
23.06.2015 13:25:50,988 INFO  logic.ProcessingAirplane - Use ladder number 3, airplane ID-12
23.06.2015 13:25:51,066 INFO  creator.GenerateAirplane - Generate new airplane ID-18, passanger 38
23.06.2015 13:25:51,066 INFO  logic.ProcessingAirplane - The airplane ID-18 expects service
23.06.2015 13:25:51,488 INFO  logic.ProcessingAirplane - Processing of the airplane ID-5 is complete
23.06.2015 13:25:51,488 INFO  logic.ProcessingAirplane - Processing airplane ID-17, passanger count 91, necessary time 9100
23.06.2015 13:25:51,488 INFO  logic.ProcessingAirplane - Use ladder number 2, airplane ID-17
23.06.2015 13:25:51,567 INFO  creator.GenerateAirplane - Generate new airplane ID-19, passanger 88
23.06.2015 13:25:51,568 INFO  logic.ProcessingAirplane - The airplane ID-19 expects service
23.06.2015 13:25:52,071 INFO  creator.GenerateAirplane - Generate new airplane ID-20, passanger 68
23.06.2015 13:25:52,071 INFO  logic.ProcessingAirplane - The airplane ID-20 expects service
23.06.2015 13:25:52,587 INFO  creator.GenerateAirplane - Generate new airplane ID-21, passanger 93
23.06.2015 13:25:52,588 INFO  logic.ProcessingAirplane - The airplane ID-21 expects service
23.06.2015 13:25:52,855 INFO  logic.ProcessingAirplane - Processing of the airplane ID-2 is complete
23.06.2015 13:25:52,855 INFO  logic.ProcessingAirplane - Processing airplane ID-20, passanger count 68, necessary time 6800
23.06.2015 13:25:52,855 INFO  logic.ProcessingAirplane - Use terminal number 2, airplane ID-20
23.06.2015 13:25:53,073 INFO  logic.ProcessingAirplane - Processing of the airplane ID-4 is complete
23.06.2015 13:25:53,073 INFO  logic.ProcessingAirplane - Processing airplane ID-21, passanger count 93, necessary time 9300
23.06.2015 13:25:53,073 INFO  logic.ProcessingAirplane - Use ladder number 1, airplane ID-21
23.06.2015 13:25:53,089 INFO  creator.GenerateAirplane - Generate new airplane ID-22, passanger 14
23.06.2015 13:25:53,089 INFO  logic.ProcessingAirplane - The airplane ID-22 expects service
23.06.2015 13:25:53,593 INFO  creator.GenerateAirplane - Generate new airplane ID-23, passanger 29
23.06.2015 13:25:53,594 INFO  logic.ProcessingAirplane - The airplane ID-23 expects service
23.06.2015 13:25:54,065 INFO  logic.ProcessingAirplane - Processing airplane ID-18, passanger count 38, necessary time 3800
23.06.2015 13:25:54,065 INFO  logic.ProcessingAirplane - Use terminal number 3, airplane ID-18
23.06.2015 13:25:54,065 INFO  logic.ProcessingAirplane - Processing of the airplane ID-9 is complete
23.06.2015 13:25:54,096 INFO  creator.GenerateAirplane - Generate new airplane ID-24, passanger 72
23.06.2015 13:25:54,096 INFO  logic.ProcessingAirplane - The airplane ID-24 expects service
23.06.2015 13:25:54,611 INFO  creator.GenerateAirplane - Generate new airplane ID-25, passanger 92
23.06.2015 13:25:54,611 INFO  logic.ProcessingAirplane - The airplane ID-25 expects service
23.06.2015 13:25:55,113 INFO  creator.GenerateAirplane - Generate new airplane ID-26, passanger 71
23.06.2015 13:25:55,113 INFO  logic.ProcessingAirplane - The airplane ID-26 expects service
23.06.2015 13:25:55,616 INFO  creator.GenerateAirplane - Generate new airplane ID-27, passanger 34
23.06.2015 13:25:55,616 INFO  logic.ProcessingAirplane - The airplane ID-27 expects service
23.06.2015 13:25:56,118 INFO  creator.GenerateAirplane - Generate new airplane ID-28, passanger 77
23.06.2015 13:25:56,118 INFO  logic.ProcessingAirplane - The airplane ID-28 expects service
23.06.2015 13:25:56,368 INFO  logic.ProcessingAirplane - Processing of the airplane ID-14 is complete
23.06.2015 13:25:56,368 INFO  logic.ProcessingAirplane - Processing airplane ID-28, passanger count 77, necessary time 7700
23.06.2015 13:25:56,368 INFO  logic.ProcessingAirplane - Use terminal number 1, airplane ID-28
23.06.2015 13:25:56,633 INFO  creator.GenerateAirplane - Generate new airplane ID-29, passanger 39
